index,reason,DATETIME,ENTITY_DESCRIPTION_SHORT
12272,negative value in TIME_TO_PARADE_1=-60.0,2019-04-12 18:30:00,Water Ride
12284,negative value in TIME_TO_PARADE_1=-165.0,2022-04-08 20:15:00,Flying Coaster
12292,negative value in TIME_TO_PARADE_1=-15.0,2019-11-11 17:15:00,Flying Coaster
12302,negative value in TIME_TO_PARADE_1=-120.0,2022-05-30 19:30:00,Flying Coaster
12308,negative value in TIME_TO_PARADE_1=-195.0,2022-05-23 20:45:00,Flying Coaster
12309,negative value in TIME_TO_PARADE_1=-105.0,2022-06-27 19:15:00,Flying Coaster
12315,negative value in TIME_TO_PARADE_1=-120.0,2022-07-05 19:30:00,Flying Coaster
12329,negative value in TIME_TO_PARADE_1=-90.0,2019-05-08 19:00:00,Flying Coaster
12330,negative value in TIME_TO_PARADE_1=-75.0,2022-04-24 18:45:00,Pirate Ship
12337,negative value in TIME_TO_PARADE_1=-30.0,2018-10-03 18:00:00,Pirate Ship
12340,negative value in TIME_TO_PARADE_1=-105.0,2022-06-13 19:15:00,Water Ride
12357,negative value in TIME_TO_PARADE_1=-150.0,2022-04-15 20:00:00,Pirate Ship
12362,negative value in TIME_TO_PARADE_1=-90.0,2019-04-12 19:00:00,Flying Coaster
12364,negative value in TIME_TO_PARADE_1=-30.0,2022-08-12 18:00:00,Pirate Ship
12368,negative value in TIME_TO_PARADE_1=-105.0,2019-10-21 19:15:00,Water Ride
12377,negative value in TIME_TO_PARADE_1=-60.0,2018-11-01 18:30:00,Flying Coaster
12383,negative value in TIME_TO_PARADE_1=-180.0,2018-12-14 20:00:00,Flying Coaster
12401,negative value in TIME_TO_PARADE_1=-105.0,2019-06-19 19:15:00,Water Ride
12411,negative value in TIME_TO_PARADE_1=-90.0,2019-05-08 19:00:00,Water Ride
12412,negative value in TIME_TO_PARADE_1=-30.0,2019-07-08 18:00:00,Water Ride
12414,negative value in TIME_TO_PARADE_1=-165.0,2022-04-07 20:15:00,Flying Coaster
12416,negative value in TIME_TO_PARADE_1=-60.0,2022-07-22 18:30:00,Water Ride
12421,negative value in TIME_TO_PARADE_1=-195.0,2022-04-10 20:45:00,Pirate Ship
12431,negative value in TIME_TO_PARADE_1=-30.0,2022-04-20 18:00:00,Water Ride
12449,negative value in TIME_TO_PARADE_1=-150.0,2018-12-24 19:30:00,Flying Coaster
12455,negative value in TIME_TO_PARADE_1=-195.0,2022-05-28 20:45:00,Pirate Ship
12467,negative value in TIME_TO_PARADE_1=-105.0,2019-06-23 19:15:00,Water Ride
12475,negative value in TIME_TO_PARADE_1=-75.0,2022-04-11 18:45:00,Flying Coaster
12478,negative value in TIME_TO_PARADE_1=-30.0,2019-08-08 18:00:00,Flying Coaster
12479,negative value in TIME_TO_PARADE_1=-105.0,2022-05-07 19:15:00,Water Ride
12496,negative value in TIME_TO_PARADE_1=-90.0,2019-10-12 19:00:00,Flying Coaster
12508,negative value in TIME_TO_PARADE_1=-75.0,2022-07-08 18:45:00,Water Ride
12531,negative value in TIME_TO_PARADE_1=-75.0,2019-05-02 18:45:00,Flying Coaster
12532,negative value in TIME_TO_PARADE_1=-105.0,2019-05-30 19:15:00,Flying Coaster
12551,negative value in TIME_TO_PARADE_1=-120.0,2022-04-11 19:30:00,Water Ride
12557,negative value in TIME_TO_PARADE_1=-120.0,2022-07-05 19:30:00,Pirate Ship
12568,negative value in TIME_TO_PARADE_1=-15.0,2019-03-15 17:15:00,Water Ride
12577,negative value in TIME_TO_PARADE_1=-120.0,2018-12-25 19:00:00,Water Ride
12579,negative value in TIME_TO_PARADE_1=-165.0,2022-06-29 20:15:00,Flying Coaster
12588,negative value in TIME_TO_PARADE_1=-60.0,2022-07-10 18:30:00,Water Ride
12598,negative value in TIME_TO_PARADE_1=-45.0,2022-05-07 18:15:00,Water Ride
12599,negative value in TIME_TO_PARADE_1=-75.0,2019-07-09 18:45:00,Flying Coaster
12601,negative value in TIME_TO_PARADE_1=-150.0,2022-06-09 20:00:00,Flying Coaster
12603,negative value in TIME_TO_PARADE_1=-15.0,2022-07-24 17:45:00,Flying Coaster
12625,negative value in TIME_TO_PARADE_1=-15.0,2019-05-20 17:45:00,Flying Coaster
12648,negative value in TIME_TO_PARADE_1=-195.0,2022-06-27 20:45:00,Pirate Ship
12651,negative value in TIME_TO_PARADE_1=-75.0,2022-07-02 18:45:00,Flying Coaster
12660,negative value in TIME_TO_PARADE_1=-60.0,2020-02-22 18:00:00,Flying Coaster
12662,negative value in TIME_TO_PARADE_1=-150.0,2022-08-03 20:00:00,Pirate Ship
12669,negative value in TIME_TO_PARADE_1=-105.0,2022-05-23 19:15:00,Water Ride
12692,negative value in TIME_TO_PARADE_1=-150.0,2022-04-14 20:00:00,Pirate Ship
12694,negative value in TIME_TO_PARADE_1=-150.0,2019-05-30 20:00:00,Water Ride
12699,negative value in TIME_TO_PARADE_1=-60.0,2022-07-24 18:30:00,Pirate Ship
12711,negative value in TIME_TO_PARADE_1=-30.0,2019-04-01 18:00:00,Flying Coaster
12718,negative value in TIME_TO_PARADE_1=-15.0,2022-05-30 17:45:00,Pirate Ship
12722,negative value in TIME_TO_PARADE_1=-105.0,2019-12-20 18:45:00,Water Ride
12724,negative value in TIME_TO_PARADE_1=-165.0,2022-05-26 20:15:00,Pirate Ship
12728,negative value in TIME_TO_PARADE_1=-75.0,2019-10-05 18:45:00,Flying Coaster
12737,negative value in TIME_TO_PARADE_1=-120.0,2022-05-25 19:30:00,Water Ride
12738,negative value in TIME_TO_PARADE_1=-180.0,2022-05-17 20:30:00,Pirate Ship
12739,negative value in TIME_TO_PARADE_1=-15.0,2019-09-11 17:45:00,Flying Coaster
12741,negative value in TIME_TO_PARADE_1=-150.0,2019-07-04 20:00:00,Water Ride
12764,negative value in TIME_TO_PARADE_1=-210.0,2018-12-14 20:30:00,Flying Coaster
12789,negative value in TIME_TO_PARADE_1=-195.0,2022-04-09 20:45:00,Flying Coaster
12796,negative value in TIME_TO_PARADE_1=-105.0,2020-01-10 18:15:00,Flying Coaster
12805,negative value in TIME_TO_PARADE_1=-30.0,2019-05-30 18:00:00,Water Ride
12807,negative value in TIME_TO_PARADE_1=-105.0,2022-06-23 19:15:00,Water Ride
12821,negative value in TIME_TO_PARADE_1=-135.0,2020-01-02 19:15:00,Pirate Ship
12827,negative value in TIME_TO_PARADE_1=-75.0,2022-07-04 18:45:00,Water Ride
12850,negative value in TIME_TO_PARADE_1=-105.0,2020-01-03 18:45:00,Pirate Ship
12873,negative value in TIME_TO_PARADE_1=-120.0,2022-05-26 19:30:00,Water Ride
12874,negative value in TIME_TO_PARADE_1=-165.0,2022-04-03 20:15:00,Flying Coaster
12881,negative value in TIME_TO_PARADE_1=-90.0,2022-04-14 19:00:00,Flying Coaster
12885,negative value in TIME_TO_PARADE_1=-120.0,2019-01-05 19:00:00,Flying Coaster
12889,negative value in TIME_TO_PARADE_1=-165.0,2022-06-04 20:15:00,Water Ride
12899,negative value in TIME_TO_PARADE_1=-15.0,2022-05-26 17:45:00,Water Ride
12904,negative value in TIME_TO_PARADE_1=-75.0,2019-09-02 18:45:00,Flying Coaster
12907,negative value in TIME_TO_PARADE_1=-75.0,2022-05-05 18:45:00,Water Ride
12922,negative value in TIME_TO_PARADE_1=-15.0,2019-07-13 17:45:00,Water Ride
12930,negative value in TIME_TO_PARADE_1=-195.0,2018-12-19 19:15:00,Flying Coaster
12935,negative value in TIME_TO_PARADE_1=-30.0,2022-07-02 18:00:00,Pirate Ship
12946,negative value in TIME_TO_PARADE_1=-150.0,2018-12-30 19:30:00,Flying Coaster
12963,negative value in TIME_TO_PARADE_1=-135.0,2019-08-17 19:45:00,Water Ride
12967,negative value in TIME_TO_PARADE_1=-30.0,2022-05-26 18:00:00,Pirate Ship
12970,negative value in TIME_TO_PARADE_1=-45.0,2022-05-26 18:15:00,Water Ride
12981,negative value in TIME_TO_PARADE_1=-30.0,2018-12-19 16:30:00,Flying Coaster
12993,negative value in TIME_TO_PARADE_1=-120.0,2019-10-19 19:30:00,Flying Coaster
12996,negative value in TIME_TO_PARADE_1=-195.0,2020-01-10 19:45:00,Water Ride
13000,negative value in TIME_TO_PARADE_1=-90.0,2019-05-14 19:00:00,Flying Coaster
13009,negative value in TIME_TO_PARADE_1=-105.0,2022-04-07 19:15:00,Water Ride
13024,negative value in TIME_TO_PARADE_1=-75.0,2019-09-20 18:45:00,Flying Coaster
13038,negative value in TIME_TO_PARADE_1=-105.0,2019-06-07 19:15:00,Water Ride
13048,negative value in TIME_TO_PARADE_1=-150.0,2022-05-07 20:00:00,Pirate Ship
13049,negative value in TIME_TO_PARADE_1=-135.0,2019-07-04 19:45:00,Water Ride
13069,negative value in TIME_TO_PARADE_1=-165.0,2019-01-05 19:45:00,Flying Coaster
13110,negative value in TIME_TO_PARADE_1=-135.0,2022-04-07 19:45:00,Water Ride
13117,negative value in TIME_TO_PARADE_1=-30.0,2018-10-18 18:00:00,Pirate Ship
13124,negative value in TIME_TO_PARADE_1=-60.0,2022-05-27 18:30:00,Water Ride
13126,negative value in TIME_TO_PARADE_1=-165.0,2022-04-21 20:15:00,Flying Coaster
13132,negative value in TIME_TO_PARADE_1=-15.0,2019-10-31 16:45:00,Flying Coaster
13135,negative value in TIME_TO_PARADE_1=-45.0,2019-10-16 18:15:00,Flying Coaster
13146,negative value in TIME_TO_PARADE_1=-15.0,2019-05-15 17:45:00,Water Ride
13154,negative value in TIME_TO_PARADE_1=-105.0,2019-08-13 19:15:00,Water Ride
13161,negative value in TIME_TO_PARADE_1=-135.0,2022-08-11 19:45:00,Water Ride
13165,negative value in TIME_TO_PARADE_1=-165.0,2022-04-28 20:15:00,Pirate Ship
13170,negative value in TIME_TO_PARADE_1=-105.0,2022-07-10 19:15:00,Pirate Ship
13185,negative value in TIME_TO_PARADE_1=-195.0,2022-05-20 20:45:00,Pirate Ship
13192,negative value in TIME_TO_PARADE_1=-15.0,2018-12-24 17:15:00,Flying Coaster
13198,negative value in TIME_TO_PARADE_1=-75.0,2022-05-25 18:45:00,Flying Coaster
13203,negative value in TIME_TO_PARADE_1=-60.0,2020-02-22 18:00:00,Pirate Ship
13205,negative value in TIME_TO_PARADE_1=-45.0,2019-12-20 17:45:00,Water Ride
13206,negative value in TIME_TO_PARADE_1=-165.0,2019-08-22 20:15:00,Flying Coaster
13210,negative value in TIME_TO_PARADE_1=-135.0,2019-04-18 19:45:00,Flying Coaster
13224,negative value in TIME_TO_PARADE_1=-150.0,2019-05-13 20:00:00,Flying Coaster
13234,negative value in TIME_TO_PARADE_1=-15.0,2020-02-20 17:15:00,Water Ride
13244,negative value in TIME_TO_PARADE_1=-135.0,2019-12-27 19:15:00,Water Ride
13245,negative value in TIME_TO_PARADE_1=-165.0,2022-07-05 20:15:00,Flying Coaster
13259,negative value in TIME_TO_PARADE_1=-120.0,2019-12-12 19:00:00,Flying Coaster
13266,negative value in TIME_TO_PARADE_1=-15.0,2019-04-18 17:45:00,Flying Coaster
13295,negative value in TIME_TO_PARADE_1=-105.0,2018-12-08 18:45:00,Flying Coaster
13312,negative value in TIME_TO_PARADE_1=-30.0,2019-08-21 18:00:00,Water Ride
13316,negative value in TIME_TO_PARADE_1=-165.0,2019-08-06 20:15:00,Flying Coaster
13318,negative value in TIME_TO_PARADE_1=-165.0,2020-01-02 19:45:00,Flying Coaster
13324,negative value in TIME_TO_PARADE_1=-60.0,2019-08-18 18:30:00,Flying Coaster
13328,negative value in TIME_TO_PARADE_1=-45.0,2019-06-15 18:15:00,Water Ride
13338,negative value in TIME_TO_PARADE_1=-180.0,2022-06-10 20:30:00,Pirate Ship
13343,negative value in TIME_TO_PARADE_1=-150.0,2019-04-17 20:00:00,Flying Coaster
13345,negative value in TIME_TO_PARADE_1=-165.0,2022-04-24 20:15:00,Pirate Ship
13367,negative value in TIME_TO_PARADE_1=-30.0,2020-02-15 17:30:00,Flying Coaster
13381,negative value in TIME_TO_PARADE_1=-120.0,2022-04-30 19:30:00,Pirate Ship
13386,negative value in TIME_TO_PARADE_1=-75.0,2020-01-10 17:45:00,Flying Coaster
13387,negative value in TIME_TO_PARADE_1=-120.0,2020-01-01 19:00:00,Pirate Ship
13403,negative value in TIME_TO_PARADE_1=-180.0,2022-06-05 20:30:00,Pirate Ship
13416,negative value in TIME_TO_PARADE_1=-165.0,2019-08-01 20:15:00,Flying Coaster
13425,negative value in TIME_TO_PARADE_1=-120.0,2022-05-07 19:30:00,Water Ride
13443,negative value in TIME_TO_PARADE_1=-15.0,2019-07-04 17:45:00,Water Ride
13465,negative value in TIME_TO_PARADE_1=-90.0,2018-12-15 18:30:00,Flying Coaster
13469,negative value in TIME_TO_PARADE_1=-105.0,2022-05-08 19:15:00,Flying Coaster
13473,negative value in TIME_TO_PARADE_1=-165.0,2022-05-23 20:15:00,Pirate Ship
13479,negative value in TIME_TO_PARADE_1=-15.0,2019-09-09 17:45:00,Flying Coaster
13486,negative value in TIME_TO_PARADE_1=-90.0,2019-04-10 19:00:00,Flying Coaster
13498,negative value in TIME_TO_PARADE_1=-75.0,2022-08-13 18:45:00,Water Ride
13506,negative value in TIME_TO_PARADE_1=-60.0,2022-04-14 18:30:00,Water Ride
13525,negative value in TIME_TO_PARADE_1=-195.0,2022-05-12 20:45:00,Pirate Ship
13533,negative value in TIME_TO_PARADE_1=-180.0,2022-07-31 20:30:00,Flying Coaster
13536,negative value in TIME_TO_PARADE_1=-45.0,2019-07-08 18:15:00,Flying Coaster
13551,negative value in TIME_TO_PARADE_1=-45.0,2018-12-21 17:45:00,Flying Coaster
13559,negative value in TIME_TO_PARADE_1=-105.0,2019-12-07 18:45:00,Flying Coaster
13560,negative value in TIME_TO_PARADE_1=-135.0,2019-07-29 19:45:00,Water Ride
13569,negative value in TIME_TO_PARADE_1=-90.0,2022-05-25 19:00:00,Flying Coaster
13572,negative value in TIME_TO_PARADE_1=-60.0,2020-02-22 18:00:00,Water Ride
13575,negative value in TIME_TO_PARADE_1=-120.0,2019-10-28 19:30:00,Flying Coaster
13577,negative value in TIME_TO_PARADE_1=-15.0,2019-09-02 17:45:00,Flying Coaster
13581,negative value in TIME_TO_PARADE_1=-30.0,2018-10-17 18:00:00,Flying Coaster
13593,negative value in TIME_TO_PARADE_1=-165.0,2022-08-15 20:15:00,Flying Coaster
13599,negative value in TIME_TO_PARADE_1=-135.0,2019-04-10 19:45:00,Flying Coaster
13613,negative value in TIME_TO_PARADE_1=-165.0,2022-06-03 20:15:00,Water Ride
13616,negative value in TIME_TO_PARADE_1=-90.0,2019-07-27 19:00:00,Water Ride
13626,negative value in TIME_TO_PARADE_1=-120.0,2019-08-07 19:30:00,Flying Coaster
13630,negative value in TIME_TO_PARADE_1=-45.0,2022-07-13 18:15:00,Pirate Ship
13634,negative value in TIME_TO_PARADE_1=-30.0,2019-06-16 18:00:00,Water Ride
13636,negative value in TIME_TO_PARADE_1=-75.0,2019-04-04 18:45:00,Flying Coaster
13638,negative value in TIME_TO_PARADE_1=-90.0,2018-12-16 18:30:00,Flying Coaster
13648,negative value in TIME_TO_PARADE_1=-45.0,2018-12-19 16:45:00,Flying Coaster
13652,negative value in TIME_TO_PARADE_1=-60.0,2018-12-16 18:00:00,Flying Coaster
13653,negative value in TIME_TO_PARADE_1=-165.0,2019-05-31 20:15:00,Flying Coaster
13658,negative value in TIME_TO_PARADE_1=-105.0,2019-01-04 18:45:00,Water Ride
13659,negative value in TIME_TO_PARADE_1=-90.0,2019-08-12 19:00:00,Water Ride
13674,negative value in TIME_TO_PARADE_1=-15.0,2018-11-30 17:15:00,Water Ride
13698,negative value in TIME_TO_PARADE_1=-90.0,2022-06-27 19:00:00,Pirate Ship
13711,negative value in TIME_TO_PARADE_1=-135.0,2019-05-16 19:45:00,Flying Coaster
13714,negative value in TIME_TO_PARADE_1=-30.0,2020-03-06 17:30:00,Flying Coaster
13722,negative value in TIME_TO_PARADE_1=-105.0,2022-07-31 19:15:00,Flying Coaster
13726,negative value in TIME_TO_PARADE_1=-180.0,2022-07-04 20:30:00,Pirate Ship
13735,negative value in TIME_TO_PARADE_1=-90.0,2019-07-18 19:00:00,Flying Coaster
13736,negative value in TIME_TO_PARADE_1=-60.0,2022-05-26 18:30:00,Pirate Ship
13739,negative value in TIME_TO_PARADE_1=-60.0,2022-05-07 18:30:00,Flying Coaster
13742,negative value in TIME_TO_PARADE_1=-150.0,2019-05-07 20:00:00,Flying Coaster
13750,negative value in TIME_TO_PARADE_1=-225.0,2018-12-06 20:45:00,Flying Coaster
13762,negative value in TIME_TO_PARADE_1=-30.0,2019-05-12 18:00:00,Flying Coaster
13765,negative value in TIME_TO_PARADE_1=-150.0,2018-10-27 20:00:00,Pirate Ship
13777,negative value in TIME_TO_PARADE_1=-45.0,2022-08-02 18:15:00,Pirate Ship
13790,negative value in TIME_TO_PARADE_1=-60.0,2022-04-30 18:30:00,Flying Coaster
13792,negative value in TIME_TO_PARADE_1=-180.0,2022-04-14 20:30:00,Pirate Ship
13800,negative value in TIME_TO_PARADE_1=-75.0,2022-04-11 18:45:00,Pirate Ship
13805,negative value in TIME_TO_PARADE_1=-120.0,2022-06-06 19:30:00,Pirate Ship
13810,negative value in TIME_TO_PARADE_1=-135.0,2022-08-15 19:45:00,Flying Coaster
13818,negative value in TIME_TO_PARADE_1=-90.0,2022-05-26 19:00:00,Flying Coaster
13821,negative value in TIME_TO_PARADE_1=-30.0,2019-11-24 17:30:00,Water Ride
13825,negative value in TIME_TO_PARADE_1=-45.0,2019-09-09 18:15:00,Water Ride
13834,negative value in TIME_TO_PARADE_1=-60.0,2019-05-11 18:30:00,Flying Coaster
13837,negative value in TIME_TO_PARADE_1=-120.0,2019-11-22 19:00:00,Water Ride
13851,negative value in TIME_TO_PARADE_1=-195.0,2019-06-21 20:45:00,Flying Coaster
13856,negative value in TIME_TO_PARADE_1=-90.0,2018-11-18 18:30:00,Flying Coaster
13857,negative value in TIME_TO_PARADE_1=-150.0,2022-06-10 20:00:00,Pirate Ship
13869,negative value in TIME_TO_PARADE_1=-15.0,2018-11-04 17:45:00,Pirate Ship
13871,negative value in TIME_TO_PARADE_1=-75.0,2022-06-25 18:45:00,Water Ride
13873,negative value in TIME_TO_PARADE_1=-90.0,2022-04-24 19:00:00,Water Ride
13888,negative value in TIME_TO_PARADE_1=-120.0,2018-12-24 19:00:00,Flying Coaster
13894,negative value in TIME_TO_PARADE_1=-15.0,2019-06-20 17:45:00,Water Ride
13896,negative value in TIME_TO_PARADE_1=-60.0,2022-04-06 18:30:00,Water Ride
13897,negative value in TIME_TO_PARADE_1=-45.0,2019-06-03 18:15:00,Water Ride
13900,negative value in TIME_TO_PARADE_1=-90.0,2022-08-11 19:00:00,Flying Coaster
13904,negative value in TIME_TO_PARADE_1=-150.0,2019-07-10 20:00:00,Water Ride
13907,negative value in TIME_TO_PARADE_1=-45.0,2019-08-01 18:15:00,Flying Coaster
13910,negative value in TIME_TO_PARADE_1=-15.0,2019-12-21 17:15:00,Pirate Ship
13921,negative value in TIME_TO_PARADE_1=-135.0,2022-04-10 19:45:00,Water Ride
13925,negative value in TIME_TO_PARADE_1=-15.0,2019-06-05 17:45:00,Water Ride
13933,negative value in TIME_TO_PARADE_1=-180.0,2022-06-04 20:30:00,Flying Coaster
13935,negative value in TIME_TO_PARADE_1=-180.0,2022-04-10 20:30:00,Pirate Ship
13945,negative value in TIME_TO_PARADE_1=-45.0,2020-02-16 17:45:00,Water Ride
13947,negative value in TIME_TO_PARADE_1=-105.0,2019-07-09 19:15:00,Flying Coaster
13951,negative value in TIME_TO_PARADE_1=-75.0,2019-07-04 18:45:00,Water Ride
13970,negative value in TIME_TO_PARADE_1=-135.0,2018-10-27 19:45:00,Flying Coaster
13971,negative value in TIME_TO_PARADE_1=-135.0,2019-05-22 19:45:00,Water Ride
13975,negative value in TIME_TO_PARADE_1=-75.0,2019-10-19 18:45:00,Water Ride
13986,negative value in TIME_TO_PARADE_1=-15.0,2022-06-23 17:45:00,Flying Coaster
13997,negative value in TIME_TO_PARADE_1=-135.0,2022-05-03 19:45:00,Flying Coaster
14001,negative value in TIME_TO_PARADE_1=-105.0,2022-05-29 19:15:00,Water Ride
14006,negative value in TIME_TO_PARADE_1=-15.0,2022-04-01 17:45:00,Water Ride
14011,negative value in TIME_TO_PARADE_1=-15.0,2019-03-09 17:15:00,Flying Coaster
14013,negative value in TIME_TO_PARADE_1=-15.0,2019-07-27 17:45:00,Water Ride
14014,negative value in TIME_TO_PARADE_1=-165.0,2018-12-19 18:45:00,Flying Coaster
14027,negative value in TIME_TO_PARADE_1=-150.0,2022-08-13 20:00:00,Flying Coaster
14048,negative value in TIME_TO_PARADE_1=-180.0,2022-05-11 20:30:00,Pirate Ship
14051,negative value in TIME_TO_PARADE_1=-30.0,2018-10-18 18:00:00,Flying Coaster
14052,negative value in TIME_TO_PARADE_1=-30.0,2019-05-06 18:00:00,Water Ride
14056,negative value in TIME_TO_PARADE_1=-90.0,2019-07-29 19:00:00,Flying Coaster
14062,negative value in TIME_TO_PARADE_1=-180.0,2022-08-13 20:30:00,Flying Coaster
14064,negative value in TIME_TO_PARADE_1=-30.0,2019-12-17 17:30:00,Flying Coaster
14069,negative value in TIME_TO_PARADE_1=-60.0,2019-12-20 18:00:00,Pirate Ship
14077,negative value in TIME_TO_PARADE_1=-45.0,2022-07-05 18:15:00,Flying Coaster
14079,negative value in TIME_TO_PARADE_1=-30.0,2022-07-02 18:00:00,Flying Coaster
14088,negative value in TIME_TO_PARADE_1=-75.0,2022-07-04 18:45:00,Flying Coaster
14101,negative value in TIME_TO_PARADE_1=-15.0,2022-05-23 17:45:00,Flying Coaster
14103,negative value in TIME_TO_PARADE_1=-15.0,2020-03-12 17:15:00,Flying Coaster
14106,negative value in TIME_TO_PARADE_1=-180.0,2022-05-23 20:30:00,Flying Coaster
14108,negative value in TIME_TO_PARADE_1=-135.0,2022-04-24 19:45:00,Pirate Ship
14119,negative value in TIME_TO_PARADE_1=-180.0,2022-06-05 20:30:00,Flying Coaster
14120,negative value in TIME_TO_PARADE_1=-60.0,2022-04-11 18:30:00,Pirate Ship
14124,negative value in TIME_TO_PARADE_1=-30.0,2018-10-08 18:00:00,Flying Coaster
14141,negative value in TIME_TO_PARADE_1=-60.0,2018-12-28 18:00:00,Water Ride
14146,negative value in TIME_TO_PARADE_1=-15.0,2019-08-01 17:45:00,Water Ride
14148,negative value in TIME_TO_PARADE_1=-60.0,2019-11-17 18:00:00,Water Ride
14157,negative value in TIME_TO_PARADE_1=-180.0,2019-05-30 20:30:00,Flying Coaster
14158,negative value in TIME_TO_PARADE_1=-105.0,2019-04-01 19:15:00,Flying Coaster
14161,negative value in TIME_TO_PARADE_1=-45.0,2020-01-01 17:45:00,Flying Coaster
14163,negative value in TIME_TO_PARADE_1=-195.0,2022-04-07 20:45:00,Flying Coaster
14166,negative value in TIME_TO_PARADE_1=-90.0,2019-06-03 19:00:00,Water Ride
14187,negative value in TIME_TO_PARADE_1=-135.0,2022-06-04 19:45:00,Flying Coaster
14220,negative value in TIME_TO_PARADE_1=-15.0,2019-08-14 17:45:00,Flying Coaster
14224,negative value in TIME_TO_PARADE_1=-60.0,2022-06-29 18:30:00,Water Ride
14230,negative value in TIME_TO_PARADE_1=-15.0,2019-10-27 17:45:00,Water Ride
14231,negative value in TIME_TO_PARADE_1=-120.0,2022-08-12 19:30:00,Flying Coaster
14236,negative value in TIME_TO_PARADE_1=-120.0,2022-07-22 19:30:00,Flying Coaster
14238,negative value in TIME_TO_PARADE_1=-135.0,2022-07-18 19:45:00,Pirate Ship
14243,negative value in TIME_TO_PARADE_1=-135.0,2018-11-29 19:15:00,Flying Coaster
14248,negative value in TIME_TO_PARADE_1=-30.0,2022-05-28 18:00:00,Water Ride
14256,negative value in TIME_TO_PARADE_1=-60.0,2019-06-17 18:30:00,Water Ride
14286,negative value in TIME_TO_PARADE_1=-15.0,2018-12-08 17:15:00,Flying Coaster
14290,negative value in TIME_TO_PARADE_1=-195.0,2022-07-07 20:45:00,Pirate Ship
14291,negative value in TIME_TO_PARADE_1=-90.0,2018-11-04 19:00:00,Pirate Ship
14297,negative value in TIME_TO_PARADE_1=-75.0,2022-06-12 18:45:00,Flying Coaster
14299,negative value in TIME_TO_PARADE_1=-30.0,2022-05-27 18:00:00,Pirate Ship
14306,negative value in TIME_TO_PARADE_1=-135.0,2022-04-30 19:45:00,Water Ride
14309,negative value in TIME_TO_PARADE_1=-150.0,2019-10-12 20:00:00,Flying Coaster
14316,negative value in TIME_TO_PARADE_1=-105.0,2022-08-13 19:15:00,Pirate Ship
14319,negative value in TIME_TO_PARADE_1=-15.0,2022-05-28 17:45:00,Water Ride
14325,negative value in TIME_TO_PARADE_1=-120.0,2019-08-23 19:30:00,Water Ride
14327,negative value in TIME_TO_PARADE_1=-150.0,2019-07-08 20:00:00,Water Ride
14335,negative value in TIME_TO_PARADE_1=-15.0,2019-09-12 17:45:00,Water Ride
14336,negative value in TIME_TO_PARADE_1=-165.0,2020-01-03 19:45:00,Pirate Ship
14341,negative value in TIME_TO_PARADE_1=-105.0,2019-05-27 19:15:00,Flying Coaster
14345,negative value in TIME_TO_PARADE_1=-60.0,2020-02-21 18:00:00,Pirate Ship
14365,negative value in TIME_TO_PARADE_1=-135.0,2019-06-04 19:45:00,Water Ride
14384,negative value in TIME_TO_PARADE_1=-90.0,2022-08-03 19:00:00,Water Ride
14386,negative value in TIME_TO_PARADE_1=-30.0,2019-05-15 18:00:00,Water Ride
14387,negative value in TIME_TO_PARADE_1=-150.0,2019-08-23 20:00:00,Water Ride
14396,negative value in TIME_TO_PARADE_1=-180.0,2022-05-07 20:30:00,Pirate Ship
14399,negative value in TIME_TO_PARADE_1=-90.0,2019-01-05 18:30:00,Flying Coaster
14437,negative value in TIME_TO_PARADE_1=-150.0,2019-10-23 20:00:00,Flying Coaster
14444,negative value in TIME_TO_PARADE_1=-60.0,2019-05-18 18:30:00,Water Ride
14452,negative value in TIME_TO_PARADE_1=-120.0,2022-05-28 19:30:00,Pirate Ship
14476,negative value in TIME_TO_PARADE_1=-150.0,2022-04-08 20:00:00,Water Ride
14480,negative value in TIME_TO_PARADE_1=-90.0,2018-10-23 19:00:00,Water Ride
14498,negative value in TIME_TO_PARADE_1=-105.0,2022-07-05 19:15:00,Pirate Ship
14504,negative value in TIME_TO_PARADE_1=-180.0,2019-07-23 20:30:00,Flying Coaster
14512,negative value in TIME_TO_PARADE_1=-90.0,2019-12-12 18:30:00,Flying Coaster
14518,negative value in TIME_TO_PARADE_1=-150.0,2022-08-06 20:00:00,Flying Coaster
14520,negative value in TIME_TO_PARADE_1=-135.0,2019-06-21 19:45:00,Water Ride
14522,negative value in TIME_TO_PARADE_1=-30.0,2019-02-28 17:30:00,Flying Coaster
14525,negative value in TIME_TO_PARADE_1=-120.0,2022-05-29 19:30:00,Flying Coaster
14532,negative value in TIME_TO_PARADE_1=-180.0,2020-01-02 20:00:00,Pirate Ship
14547,negative value in TIME_TO_PARADE_1=-150.0,2018-12-07 19:30:00,Flying Coaster
14549,negative value in TIME_TO_PARADE_1=-45.0,2019-08-24 18:15:00,Flying Coaster
14553,negative value in TIME_TO_PARADE_1=-150.0,2022-05-08 20:00:00,Water Ride
14558,negative value in TIME_TO_PARADE_1=-165.0,2019-07-26 20:15:00,Water Ride
14568,negative value in TIME_TO_PARADE_1=-135.0,2022-05-28 19:45:00,Water Ride
14581,negative value in TIME_TO_PARADE_1=-60.0,2018-12-03 18:00:00,Flying Coaster
14583,negative value in TIME_TO_PARADE_1=-45.0,2018-12-31 16:00:00,Flying Coaster
14585,negative value in TIME_TO_PARADE_1=-60.0,2020-01-01 18:00:00,Flying Coaster
